Jeep,Alpha,Bravo ,Charlie,Delta ,Echo ,Foxtrot,Golf ,Hotel,India,Juliet,Kilo,Lima,Mike,November,Oscar,Papa,Quebec,Romeo
01A,1,2,3,,4,,5,,,,,,,,,,,
02B,1,,,2,3,4,5,,,,,,,,,,,
03C,,,1,2,,3,,4,5,,,,,,,,,
04A,,,1,2,3,4,5,,,,,,,,,,,
04D,,,1,,2,3,4,,5,,,,,,,,,
06B,,,,1,,,,2,,3,4,5,,,,,,
06D,,,,1,,2,3,,4,,5,,,,,,,
10C,,,,,,1,2,3,4,5,,,,,,,,
10H,,,,,,1,,2,,3,,4,,5,,,,
11A,,,,,,1,2,,,,3,,4,5,,,,
11B,,,,,,1,2,,,,,3,,,4,5,,
20A,,,,,,,,,1,2,,,,3,,4,,5
20C,,,,,,,,,1,,2,3,4,,,,,5
42C,,,,,,,,,,1,2,3,4,,5,,,
42D,,,,,,,,,,1,,,,2,3,,4,5
